experiment,hour,date_of_week,date_of_month,device_make,platform_os,browser
0,15,4,3,13,1,1
1,12,6,5,67,1,4
1,7,4,3,13,1,1
0,13,1,7,13,1,1
1,14,1,7,67,1,7
1,9,3,9,13,1,1
1,15,5,4,13,1,1
0,20,2,8,13,1,1
1,8,6,5,13,1,1
1,10,4,3,13,1,1
1,14,3,9,13,1,1
0,15,4,3,32,1,4
1,11,3,9,13,1,1
0,15,4,3,64,1,7
1,20,3,9,24,1,2
1,17,3,9,48,1,2
0,0,4,10,67,1,4
0,8,5,4,107,1,4
0,15,4,3,13,1,1
0,17,2,8,13,1,1
1,7,0,6,30,1,2
1,4,5,4,13,1,1
1,15,2,8,37,1,2
1,15,2,8,13,1,1
0,0,0,6,102,1,2
1,14,5,4,85,1,2
1,4,4,10,13,1,1
1,13,1,7,42,1,2
1,17,3,9,13,1,1
0,15,4,3,13,1,1
0,15,4,3,51,1,7
1,8,4,10,71,1,2
1,15,2,8,13,1,1
0,17,1,7,13,1,1
0,15,4,3,13,1,4
1,12,5,4,67,1,7
1,8,0,6,13,1,1
0,15,4,3,13,1,1
1,8,1,7,13,1,1
0,10,1,7,13,1,1
0,4,5,4,13,1,1
0,15,4,3,13,1,1
1,14,4,10,91,1,7
1,22,2,8,13,1,1
0,9,3,9,42,1,2
1,15,2,8,101,1,4
0,3,5,4,13,1,1
1,1,3,9,13,1,1
1,5,4,3,13,1,1
1,11,6,5,13,1,1
0,15,4,3,53,1,4
1,18,6,5,13,1,1
0,15,4,3,12,1,4
0,15,4,3,63,1,7
0,22,2,8,70,1,4
0,15,4,3,84,1,7
0,15,4,10,13,1,1
1,13,2,8,42,1,2
0,10,3,9,67,1,4
1,0,4,3,13,1,1
1,6,3,9,13,1,1
0,15,4,3,70,1,4
0,15,4,3,46,1,7
0,15,4,3,13,1,1
1,5,5,4,67,1,2
0,15,4,3,13,1,1
0,15,4,3,28,1,4
0,16,4,10,13,1,1
1,21,2,8,13,1,2
1,15,4,10,65,1,7
1,14,5,4,13,1,1
1,12,4,3,101,1,4
1,15,2,8,13,1,1
0,21,6,5,13,1,1
1,3,6,5,111,0,5
0,15,4,3,67,1,7
1,14,2,8,13,1,1
1,1,5,4,13,1,1
1,11,4,3,47,1,2
1,13,4,3,13,1,1
0,15,4,3,13,1,1
0,8,3,9,13,1,1
1,2,4,3,13,1,1
0,1,1,7,13,1,1
0,15,4,3,49,1,2
1,15,4,10,13,1,1
1,13,6,5,65,1,7
1,8,3,9,13,1,2
0,8,6,5,64,1,7
1,8,5,4,13,1,1
1,12,6,5,13,1,1
0,15,4,3,67,1,4
1,17,5,4,13,1,1
1,7,4,3,13,1,2
1,14,1,7,45,1,7
1,20,5,4,13,1,1
0,11,5,4,20,1,1
1,10,0,6,13,1,1
0,15,4,3,65,1,2
1,22,2,8,67,1,4
0,15,4,3,13,1,1
0,15,3,9,13,1,1
0,11,5,4,13,1,1
1,15,5,4,13,1,1
1,12,6,5,17,1,0
1,7,0,6,65,1,4
0,10,1,7,13,1,1
1,10,1,7,13,1,1
0,14,2,8,50,1,4
1,8,4,3,13,1,1
1,20,2,8,13,1,1
1,5,2,8,13,1,1
1,13,6,5,65,1,2
0,1,3,9,13,1,1
0,15,4,3,45,1,4
0,20,2,8,13,1,1
1,4,0,6,13,1,1
1,22,3,9,13,1,1
1,10,4,10,25,1,1
0,12,3,9,13,1,1
0,15,4,3,78,1,7
0,16,4,10,45,1,7
1,19,5,4,13,1,1
0,6,4,10,13,1,1
0,3,6,5,13,1,1
0,5,3,9,67,1,2
1,1,4,10,13,1,1
1,16,6,5,13,1,2
1,21,2,8,65,1,4
0,14,1,7,13,1,1
0,14,5,4,13,1,1
0,20,2,8,5,1,4
1,19,5,4,13,1,1
0,4,0,6,13,1,1
0,15,4,3,13,1,1
1,20,1,7,13,1,1
1,18,3,9,13,1,1
0,15,4,3,13,1,1
1,2,4,3,25,1,1
0,15,4,3,42,1,7
0,9,2,8,93,1,7
0,15,4,3,67,1,2
0,10,1,7,21,1,2
0,22,2,8,65,1,4
0,15,4,3,63,1,7
0,15,4,3,13,1,1
0,15,4,3,13,1,1
1,0,6,5,13,1,2
1,4,0,6,61,1,2
0,15,4,3,13,1,1
1,9,4,3,13,1,1
1,6,4,3,26,1,2
0,3,1,7,79,1,4
0,19,3,9,94,1,4
0,5,0,6,13,1,1
0,0,0,6,35,1,4
1,13,5,4,10,1,2
1,4,5,4,13,1,2
1,7,6,5,20,1,2
1,13,2,8,13,1,1
0,15,4,3,46,1,7
0,10,6,5,13,1,1
0,2,5,4,13,1,1
0,9,3,9,41,1,7
1,5,4,10,68,1,2
1,12,5,4,43,1,4
1,20,2,8,13,1,1
0,20,5,4,103,1,4
1,4,3,9,13,1,2
1,9,0,6,13,1,1
0,17,6,5,13,1,1
1,10,0,6,13,1,1
1,19,2,8,67,1,7
0,12,5,4,13,1,1
1,5,4,3,106,1,2
0,8,1,7,66,1,2
1,9,0,6,13,1,1
0,15,4,3,71,1,4
0,18,2,8,13,1,1
0,19,2,8,41,1,7
0,15,4,3,13,1,1
1,17,4,10,13,1,1
1,8,0,6,65,1,2
1,20,2,8,13,1,2
0,15,4,3,13,1,1
1,9,5,4,13,1,1
1,14,5,4,2,1,4
1,2,4,10,13,1,1
0,20,3,9,13,1,1
0,21,2,8,13,1,1
1,14,3,9,13,1,2
1,8,4,3,43,1,2
0,5,5,4,13,1,1
0,3,1,7,13,1,1
0,8,1,7,13,1,1
0,10,5,4,3,1,4
1,4,4,10,63,1,2
0,16,2,8,63,1,2
1,3,6,5,65,1,2
0,15,4,3,45,1,7
0,15,4,3,75,1,7
0,7,1,7,13,1,1
1,7,2,8,46,1,2
1,11,6,5,13,1,2
1,6,5,4,68,1,2
1,14,3,9,13,1,1
1,16,2,8,13,1,1
1,8,3,9,13,1,1
1,11,5,4,65,1,2
1,20,1,7,91,1,2
0,3,5,4,13,1,1
1,22,6,5,50,1,2
0,15,2,8,11,1,4
1,3,0,6,13,1,1
0,8,1,7,13,1,2
0,14,2,8,42,1,2
1,16,2,8,41,1,2
0,15,4,3,64,1,7
1,14,4,3,13,1,1
1,17,5,4,13,1,1
1,9,3,9,13,1,2
1,6,0,6,13,1,1
1,1,0,6,13,1,1
0,19,3,9,67,1,7
0,12,5,4,26,1,4
1,20,3,9,53,1,4
0,15,4,3,22,1,4
0,15,4,3,13,1,1
1,4,0,6,13,1,1
1,12,4,3,13,1,1
1,7,0,6,13,1,1
1,5,3,9,13,1,1
0,15,4,3,13,1,4
0,8,3,9,32,1,4
0,9,0,6,13,1,1
1,18,3,9,13,1,1
1,6,6,5,18,1,2
1,9,1,7,13,1,1
1,17,5,4,71,1,7
0,7,3,9,77,1,4
1,16,2,8,13,1,2
0,11,5,4,51,1,7
0,11,2,8,90,1,4
1,6,4,10,5,1,2
0,19,2,8,13,1,1
1,22,2,8,13,1,1
1,12,5,4,13,1,1
0,15,4,3,78,1,7
1,6,4,3,13,1,1
0,5,5,4,26,1,1
1,14,2,8,67,1,2
1,13,5,4,13,1,1
1,16,2,8,13,1,1
1,3,4,10,13,1,1
1,8,4,3,13,1,1
1,11,4,3,13,1,1
1,11,1,7,13,1,1
1,14,3,9,13,1,1
0,5,4,10,13,1,1
1,10,4,3,13,1,1
0,21,5,4,53,1,4
0,15,4,3,65,1,4
1,8,3,9,69,1,2
0,9,3,9,111,0,5
0,15,4,3,13,1,1
1,20,2,8,13,1,1
0,17,1,7,111,0,6
1,8,6,5,67,1,7
1,8,4,10,13,1,1
0,15,4,3,13,1,1
0,3,4,10,13,1,1
0,21,5,4,13,1,1
1,7,4,10,13,1,1
1,8,6,5,13,1,1
1,6,0,6,13,1,1
1,2,6,5,4,1,2
1,6,4,3,53,1,7
0,15,4,3,13,1,1
1,10,4,3,13,1,1
1,5,6,5,13,1,1
1,14,4,3,64,1,2
1,7,4,3,21,1,2
0,12,5,4,13,1,2
1,9,5,4,13,1,1
0,15,4,3,76,1,2
0,6,0,6,74,1,7
0,15,4,3,13,1,1
1,0,4,3,13,1,1
0,15,4,3,63,1,2
1,21,1,7,41,1,4
1,7,3,9,13,1,1
0,18,2,8,13,1,1
0,15,4,3,70,1,7
1,3,0,6,13,1,1
1,18,2,8,13,1,1
0,2,6,5,13,1,1
1,17,1,7,73,1,7
0,15,4,3,13,1,1
0,15,4,3,13,1,1
1,16,3,9,68,1,7
0,23,2,8,101,1,4
0,8,5,4,67,1,4
1,9,3,9,13,1,1
1,10,4,3,71,1,2
0,19,2,8,13,1,1
0,3,5,4,83,1,7
0,18,2,8,13,1,1
1,10,6,5,13,1,1
0,15,4,3,2,1,1
1,12,2,8,58,1,2
1,10,0,6,65,1,2
0,15,4,3,13,1,1
1,18,2,8,65,1,2
1,9,5,4,47,1,7
0,16,4,10,13,1,1
0,4,6,5,71,1,2
0,15,4,3,13,1,1
0,7,1,7,25,1,1
0,15,4,3,22,1,4
0,15,4,3,13,1,1
0,9,5,4,83,1,7
0,18,2,8,13,1,1
0,13,3,9,75,1,2
1,12,6,5,13,1,1
0,15,4,3,70,1,4
1,14,2,8,13,1,2
0,3,0,6,25,1,1
0,0,3,9,47,1,2
0,15,4,3,46,1,7
1,0,4,3,13,1,2
0,15,4,3,13,1,1
1,20,2,8,13,1,1
0,15,4,3,39,1,4
1,22,2,8,13,1,1
1,19,2,8,13,1,1
0,15,4,10,67,1,4
1,7,2,8,13,1,1
0,4,4,10,54,1,7
1,4,3,9,42,1,2
0,15,4,3,40,1,7
0,15,1,7,13,1,1
0,15,4,3,67,1,4
1,5,0,6,13,1,1
1,21,2,8,65,1,2
0,20,5,4,13,1,1
1,14,3,9,26,1,2
1,15,6,5,13,1,1
0,15,4,3,13,1,1
0,15,4,3,13,1,1
0,11,5,4,65,1,7
1,1,4,3,78,1,7
0,1,4,10,32,1,4
0,3,4,10,13,1,1
1,6,6,5,13,1,1
0,3,1,7,13,1,1
0,5,4,10,35,1,4
0,15,4,3,13,1,1
1,8,3,9,13,1,1
1,19,2,8,13,1,2
0,17,5,4,13,1,1
1,17,3,9,71,1,2
0,15,4,3,13,1,1
0,15,4,3,1,1,4
0,10,6,5,13,1,1
0,15,4,3,13,1,1
1,17,6,5,13,1,1
0,6,3,9,13,1,1
0,14,3,9,13,1,1
1,17,2,8,13,1,1
1,10,5,4,13,1,1
0,15,4,3,13,1,1
1,8,5,4,83,1,7
1,3,4,10,13,1,1
1,6,5,4,65,1,2
0,15,4,3,65,1,4
0,16,2,8,13,1,1
0,4,3,9,13,1,1
0,11,5,4,111,0,5
0,13,3,9,67,1,4
0,15,4,3,69,1,7
1,9,4,3,42,1,2
1,6,4,10,13,1,4
0,1,3,9,19,1,1
1,7,2,8,91,1,2
0,19,5,4,13,1,1
0,11,6,5,13,1,1
0,0,6,5,13,1,1
0,20,3,9,32,1,4
1,10,4,3,69,1,2
1,10,4,3,46,1,2
0,18,3,9,13,1,1
1,14,4,10,13,1,4
1,16,5,4,85,1,2
1,17,3,9,13,1,1
0,15,4,10,41,1,7
1,13,2,8,13,1,1
1,9,4,3,13,1,2
1,0,4,10,13,1,1
1,8,4,3,83,1,2
0,15,4,3,70,1,4
0,15,4,3,13,1,1
1,13,1,7,13,1,2
1,3,4,3,13,1,1
1,13,3,9,64,1,4
0,13,5,4,13,1,1
1,15,2,8,13,1,1
0,8,0,6,42,1,7
1,19,3,9,100,1,4
1,16,5,4,13,1,1
1,15,6,5,41,1,7
0,1,0,6,22,1,4
0,10,3,9,18,1,4
1,6,4,10,13,1,1
1,3,1,7,70,1,7
1,0,4,10,13,1,2
0,15,4,3,13,1,1
1,13,5,4,96,1,4
0,15,4,3,67,1,2
0,4,5,4,13,1,1
0,9,3,9,31,1,4
1,6,4,10,13,1,1
1,8,4,3,111,0,5
1,9,3,9,24,1,2
0,5,6,5,13,1,1
0,15,4,3,13,1,1
0,21,2,8,46,1,4
0,2,0,6,84,1,2
0,14,5,4,13,1,1
1,2,1,7,13,1,1
0,12,6,5,13,1,1
0,15,4,3,13,1,1
0,15,4,3,42,1,7
1,2,4,3,13,1,1
1,7,5,4,29,1,2
1,8,6,5,87,1,2
1,2,5,4,13,1,1
1,12,4,10,13,1,1
1,6,0,6,13,1,1
1,8,2,8,13,1,1
0,15,4,3,20,1,2
1,5,4,10,13,1,1
1,8,3,9,23,1,2
1,18,2,8,13,1,1
1,13,4,3,27,1,2
0,21,2,8,13,1,1
0,15,4,3,13,1,1
0,14,2,8,13,1,1
1,0,6,5,13,1,1
1,18,2,8,13,1,1
1,17,3,9,46,1,7
1,8,0,6,13,1,1
0,15,4,3,69,1,7
1,16,2,8,68,1,2
1,20,5,4,13,1,2
1,0,4,3,13,1,1
1,20,2,8,13,1,1
1,8,3,9,13,1,1
0,4,6,5,13,1,1
1,21,3,9,110,1,2
