experiment,hour,date_of_week,date_of_month,device_make,platform_os,browser
0,15,4,3,13,1,1
0,9,1,7,13,1,1
1,2,4,10,13,1,1
0,15,4,3,13,1,1
0,15,4,3,13,1,1
0,12,3,9,13,1,1
0,1,6,5,65,1,7
0,9,4,10,13,1,1
0,15,4,3,13,1,1
1,12,4,3,13,1,1
0,15,4,3,13,1,1
1,9,4,3,13,1,1
1,19,2,8,13,1,1
1,2,0,6,25,1,1
1,14,4,3,13,1,1
1,5,3,9,13,1,1
1,6,6,5,13,1,1
1,12,6,5,13,1,1
1,2,4,10,13,1,1
1,10,5,4,1,1,2
1,16,3,9,13,1,1
1,0,4,10,71,1,4
1,14,4,3,13,1,1
1,5,6,5,65,1,2
0,15,4,3,13,1,1
0,12,5,4,1,1,4
1,20,2,8,13,1,1
1,4,4,10,18,1,4
1,20,2,8,13,1,1
0,16,1,7,32,1,4
0,15,5,4,65,1,4
1,20,2,8,13,1,1
0,9,5,4,13,1,1
0,6,5,4,13,1,1
1,19,1,7,67,1,7
1,19,2,8,13,1,1
0,14,4,10,13,1,1
0,15,4,3,13,1,1
1,5,0,6,47,1,7
1,7,2,8,94,1,4
1,18,2,8,13,1,1
1,22,1,7,13,1,1
0,15,4,3,13,1,1
0,15,4,3,13,1,1
1,20,2,8,13,1,1
0,11,5,4,13,1,1
1,20,2,8,97,1,2
1,7,4,3,13,1,1
1,4,6,5,22,1,2
1,18,2,8,65,1,2
0,15,4,3,53,1,4
1,18,3,9,13,1,1
0,21,2,8,13,1,1
1,18,2,8,84,1,2
1,15,3,9,13,1,1
0,17,5,4,13,1,1
1,18,3,9,67,1,2
0,16,6,5,13,1,1
1,12,3,9,13,1,1
1,12,3,9,13,1,1
0,8,3,9,13,1,1
0,15,4,3,13,1,1
0,5,6,5,13,1,1
0,4,6,5,67,1,4
1,5,1,7,13,1,1
0,14,2,8,13,1,1
0,15,4,3,73,1,4
0,8,0,6,13,1,1
1,22,1,7,13,1,1
0,4,3,9,13,1,1
0,15,4,3,88,1,2
1,23,3,9,13,1,1
1,6,3,9,13,1,1
1,6,2,8,13,1,1
1,5,5,4,13,1,1
0,18,6,5,67,1,4
0,12,4,10,50,1,2
1,15,2,8,13,1,2
1,5,2,8,13,1,1
0,2,3,9,13,1,1
0,11,3,9,84,1,7
1,19,5,4,13,1,1
1,6,6,5,13,1,1
0,12,3,9,41,1,1
1,22,2,8,73,1,4
0,15,4,3,13,1,1
0,15,4,3,71,1,7
0,15,4,3,59,1,7
1,11,5,4,74,1,2
0,15,2,8,46,1,7
1,8,3,9,34,1,2
0,13,4,10,13,1,1
1,3,5,4,25,1,1
1,8,4,10,13,1,1
1,12,1,7,13,1,1
0,12,6,5,75,1,7
0,20,1,7,13,1,1
0,13,5,4,13,1,1
0,12,5,4,111,0,5
0,9,1,7,13,1,1
0,6,4,10,13,1,1
0,12,3,9,13,1,1
1,7,4,3,95,1,2
1,22,2,8,13,1,1
1,15,2,8,13,1,2
1,19,6,5,13,1,1
0,15,4,3,13,1,1
0,19,6,5,70,1,7
0,18,6,5,77,1,1
1,20,2,8,77,1,7
0,2,5,4,63,1,4
1,0,1,7,24,1,2
0,15,4,3,111,0,5
1,11,4,10,13,1,1
1,1,1,7,67,1,2
0,10,3,9,13,1,1
1,13,3,9,36,1,2
0,5,6,5,13,1,1
0,15,4,3,63,1,4
0,4,4,10,13,1,1
1,12,4,3,13,1,1
0,15,4,3,108,1,2
1,1,4,3,51,1,2
1,18,2,8,21,1,4
1,1,4,3,13,1,1
0,15,4,3,41,1,1
1,7,4,3,13,1,1
